Vertical,KeiroLabs,Exa,Firecrawl,Tavily,You
"1. Coding & Developer Docs",3.94,3.75,3.47,3.61,3.32
"2. System / DevOps / OS",4.08,4.00,4.03,3.80,3.70
"3. News & Current Events",3.58,3.58,3.06,3.53,3.07
"4. Research & Deep Knowledge",3.83,4.06,3.92,3.59,3.71
"5. Finance & Data",3.86,3.92,3.78,3.78,3.56
"6. Multi-hop Reasoning",3.83,3.89,3.50,3.78,3.58
"7. Edge / Ambiguous Queries",3.03,3.28,2.78,2.22,2.81
"8. Product / Comparison",3.38,3.64,3.58,3.22,3.14
"9. Travel & Local Info",3.42,3.50,3.47,3.67,3.53
"10. Health / Medical",3.92,4.03,3.83,4.00,3.81
"11. Legal / Policy",3.79,4.14,3.95,3.78,3.72
"12. Educational / Explanatory",3.67,3.92,3.69,3.71,3.64
"13. Beginner vs Expert",3.92,3.97,3.92,3.78,3.92
"14. Regional / Localization",3.14,3.67,3.33,3.33,3.53
"15. Historical + Timeline",3.47,4.11,4.28,3.67,3.61
"16. Factual Precision",4.27,4.50,4.28,4.14,3.78
"17. Real-Time / Breaking News",1.65,1.67,1.17,1.58,1.17
"17. Real-Time / Breaking News (Advanced)",3.67,3.78,3.11,2.22,3.11
